prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
1353;1;GTO;1;SOSS Transit;transit;WASP-17;1050;239.9622281;-28.06181443;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;2;SOSS Eclipse;eclipse;WASP-17;1050;239.9622278;-28.06181466;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;3;G395H Transit;transit;WASP-17;1050;239.9622278;-28.06181473;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;4;G395H Eclipse;eclipse;WASP-17;1050;239.9622278;-28.06181474;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;5;LRS Transit;transit;WASP-17;1050;239.9622279;-28.06181459;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;6;LRS Eclipse;eclipse;WASP-17;1050;239.9622279;-28.06181461;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1353;1;GTO;101;SOSS Transit Repeat;transit;WASP-17;1050;239.9622278;-28.06181465;11.3803;10.224;6550;WASP-17 b;3.73543;20.961;1.87;1699;;;
1366;1;ERS;21;NIRISS SOSS Eclipse;eclipse;WASP-18;185;24.35453302;-45.67775377;9.16617;8.131;6432;WASP-18 b;0.94145223;13.899;1.24;2505;;;
1366;1;ERS;1;NIRISS SOSS;transit;WASP-39;5675;217.3266104;-3.444499323;11.8867;10.202;5400;WASP-39 b;4.055259;14.235;1.27;1121;;;
1366;1;ERS;2;NIRCam F322W2;transit;WASP-39;5675;217.3266105;-3.444499324;11.8867;10.202;5400;WASP-39 b;4.055259;14.235;1.27;1121;;;
1366;1;ERS;3;NIRSpec G395H;transit;WASP-39;5675;217.3266104;-3.444499322;11.8867;10.202;5400;WASP-39 b;4.055259;14.235;1.27;1121;;;
1366;1;ERS;4;NIRSpec PRISM;transit;WASP-39;5675;217.3266107;-3.444499327;11.8867;10.202;5400;WASP-39 b;4.055259;14.235;1.27;1121;;;
1366;1;ERS;11;MIRI LRS Phase Curve;phase;WASP-43;656;154.9080993;-9.806519956;11.907;9.267;4400;WASP-43 b;0.813475;10.424;0.93;1379;;;
1633;1;GO;1;MIRI MRS A transit;transit;HD 189733;4470;300.1821143;22.70923211;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1633;1;GO;2;MIRI MRS transit B;transit;HD 189733;4470;300.1821142;22.70922494;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1633;1;GO;3;MIRI MRS transit C;transit;HD 189733;4470;300.182115;22.70927856;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1633;1;GO;4;NIRCam F322 transit;transit;HD 189733;4470;300.182115;22.70927729;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1633;1;GO;5;INIRCam F444 transit;transit;HD 189733;4470;300.182115;22.70927813;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1729;1;GO;1;Phase Curve;phase;WASP-121;495;107.6002212;-39.09721761;10.3746;9.374;6776;WASP-121 b;1.27492504;19.649;1.753;2450;;;
1743;1;GO;1;Gl486_visit1;eclipse;GJ 486;1827;191.9792837;9.748409616;10.094;6.362;3340;GJ 486 b;1.467119;1.305;0.116;703;;;
1743;1;GO;2;Gl486_visit2;eclipse;GJ 486;1827;191.9792814;9.748408584;10.094;6.362;3340;GJ 486 b;1.467119;1.305;0.116;703;;;
1803;1;GO;1;PhaseCurve_1;phase;GJ 1214;;258.8325403;4.959212444;13.0089;8.782;3250;GJ 1214 b;1.58040433;2.742;0.245;588;;;
1846;1;GO;1;LHS 3844b eclipse;eclipse;LHS 3844;136;340.4982843;-69.17371648;13.3925;9.145001;3036;LHS 3844 b;0.46292913;1.303;0.116;809;;;
1846;1;GO;3;LHS 3844b eclipse;eclipse;LHS 3844;136;340.4962042;-69.17210833;13.3925;9.145001;3036;LHS 3844 b;0.46292913;1.303;0.116;809;;;
1846;1;GO;102;LHS 3844b eclipse;eclipse;LHS 3844;136;340.4983582;-69.17377356;13.3925;9.145001;3036;LHS 3844 b;0.46292913;1.303;0.116;809;;;
1935;1;GO;1;NIRISS;transit;TOI-421;421;81.85319692;-14.27662454;9.77776;8.071;5325;TOI-421 b;5.19672;2.68;0.239;1012;;;
1935;1;GO;2;NIRSPEC;transit;TOI-421;421;81.85319852;-14.27662673;9.77776;8.071;5325;TOI-421 b;5.19672;2.68;0.239;1012;;;
1952;1;GO;1;NIRCAM F444W Eclipse;eclipse;55 Cnc;1773;133.1457028;28.32933606;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
1952;1;GO;2;MIRI LRS Eclipse;eclipse;55 Cnc;1773;133.1456524;28.32931473;5.72973;4.015;5172;55 Cnc e;0.7365474;1.875;0.167;1946;;;
1981;1;GO;21;Visit 1;transit;GJ 1132;667;153.7057652;-47.15405246;12.138;8.322;3270;GJ 1132 b;1.628931;1.13;0.101;584;;;
1981;1;GO;22;Visit 2;transit;GJ 1132;667;153.7057748;-47.15405502;12.138;8.322;3270;GJ 1132 b;1.628931;1.13;0.101;584;;;
